# curve H-H: 96 knots, R_e = 1.3887 bohr, D_e = 0.204142 Ha, worst residual 8.7e-11, 7.0 s
# curve O-H: 96 knots, R_e = 1.9909 bohr, D_e = 0.122901 Ha, worst residual 9.9e-11, 19.8 s
# WARNING O-O: worst residual 2.68e-6 exceeds CONVERGED_RESIDUAL 1e-9.
# curve O-O: 96 knots, R_e = 2.4421 bohr, D_e = 0.147621 Ha, worst residual 2.7e-6, 2596.2 s
# arm = mixed (8 H + 4 O)   ozone = fenced   seeds = 8   12 atoms in 34.6 x 20.8 bohr
# 20000 boundaries x 64 substeps, dt = 1.0772 a.u. -> 33.35 ps
# T_init 3000 K, T_target 300 K, tau 2000
# trajectory dump: every grain boundary, to /tmp/claude-1000/-home-emoore-CIRISOntology/4cf4fa5c-aaa3-4173-83b9-978cb75c887f/scratchpad/traj/fenced
# setup 2635.9 s
  [0x0000000053415426] frame 16000/20000 | T  302 K | drift 7.87e-5 | 198.7 s
  [0x0000000053415426] frame 18000/20000 | T  320 K | drift 1.08e-4 | 206.1 s
  [0x0000000053415426] frame 20000/20000 | T  259 K | drift 8.43e-5 | 240.9 s
seed 0x0000000053415426  dt 0.5386  modal-O O4H2  free O 0  free H 0  largest 6  molecules [H2 H2 H2 O4H2]  fenced 4  drift 1.13e-4/1.22e1  |p| 3.91e-12/5.67e-8  T 259 K  241 s
# dumped 20000 frames to /tmp/claude-1000/-home-emoore-CIRISOntology/4cf4fa5c-aaa3-4173-83b9-978cb75c887f/scratchpad/traj/fenced/seed_0x0000000053415426.traj (12.3 MB)
  [0x0000000053415427] frame  2000/20000 | T  306 K | drift 4.12e-5 |  27.4 s
  [0x0000000053415427] frame  4000/20000 | T  244 K | drift 6.43e-6 | 108.6 s
  [0x0000000053415427] frame  6000/20000 | T  298 K | drift 9.97e-6 | 131.6 s
  [0x0000000053415427] frame  8000/20000 | T  262 K | drift 2.57e-5 | 192.6 s
  [0x0000000053415427] frame 10000/20000 | T  355 K | drift 5.81e-5 | 203.5 s
  [0x0000000053415427] frame 12000/20000 | T  260 K | drift 1.61e-4 | 206.5 s
  [0x0000000053415427] frame 14000/20000 | T  275 K | drift 2.06e-4 | 224.2 s
  [0x0000000053415427] frame 16000/20000 | T  338 K | drift 1.49e-4 | 229.7 s
  [0x0000000053415427] frame 18000/20000 | T  300 K | drift 1.48e-4 | 274.9 s
  [0x0000000053415427] frame 20000/20000 | T  327 K | drift 1.47e-4 | 317.5 s
seed 0x0000000053415427  dt 0.5386  modal-O O4H2  free O 0  free H 0  largest 6  molecules [H2 H2 H2 O4H2]  fenced 4  drift 2.26e-4/8.22e0  |p| 8.02e-12/1.02e-7  T 327 K  317 s
# dumped 20000 frames to /tmp/claude-1000/-home-emoore-CIRISOntology/4cf4fa5c-aaa3-4173-83b9-978cb75c887f/scratchpad/traj/fenced/seed_0x0000000053415427.traj (12.3 MB)
  [0x0000000053415428] frame  2000/20000 | T  169 K | drift 7.66e-6 |   2.2 s
  [0x0000000053415428] frame  4000/20000 | T  155 K | drift 2.73e-6 |   6.0 s
  [0x0000000053415428] frame  6000/20000 | T  233 K | drift 7.31e-5 |  11.0 s
  [0x0000000053415428] frame  8000/20000 | T  372 K | drift 7.48e-5 |  17.1 s
  [0x0000000053415428] frame 10000/20000 | T  288 K | drift 7.29e-5 |  52.4 s
  [0x0000000053415428] frame 12000/20000 | T  338 K | drift 7.19e-5 | 105.0 s
  [0x0000000053415428] frame 14000/20000 | T  307 K | drift 7.18e-5 | 154.7 s
  [0x0000000053415428] frame 16000/20000 | T  287 K | drift 6.87e-5 | 209.3 s
  [0x0000000053415428] frame 18000/20000 | T  454 K | drift 5.12e-5 | 235.1 s
  [0x0000000053415428] frame 20000/20000 | T  249 K | drift 5.52e-5 | 277.5 s
seed 0x0000000053415428  dt 0.5386  modal-O O4H2  free O 0  free H 0  largest 6  molecules [H2 H2 H2 O4H2]  fenced 4  drift 1.28e-4/1.36e1  |p| 4.97e-12/1.02e-7  T 249 K  277 s
# dumped 20000 frames to /tmp/claude-1000/-home-emoore-CIRISOntology/4cf4fa5c-aaa3-4173-83b9-978cb75c887f/scratchpad/traj/fenced/seed_0x0000000053415428.traj (12.3 MB)
