resume: 146 m5 classes, 4 m6 classes, 4 already lifted to m7, 0 queued
2026-09-25T05:15:09Z t=11.50h | m5: 808 classes (67415 anneal hits, 42312133130 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 1068 restarts, 1984591943 moves, 0 snaps, best residual 1.9793e-1 | v6: 30 members, 225 joins, 9961857706 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T05:45:09Z t=12.00h | m5: 842 classes (70837 anneal hits, 44338054346 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 1119 restarts, 2079311883 moves, 0 snaps, best residual 1.9793e-1 | v6: 31 members, 240 joins, 10434777411 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T06:15:09Z t=12.50h | m5: 866 classes (74175 anneal hits, 46366131999 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 1171 restarts, 2175950732 moves, 0 snaps, best residual 1.9793e-1 | v6: 31 members, 240 joins, 10915623029 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T06:45:09Z t=13.00h | m5: 880 classes (77284 anneal hits, 48400107291 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 1223 restarts, 2272500004 moves, 0 snaps, best residual 1.9793e-1 | v6: 31 members, 240 joins, 11396942595 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T07:15:09Z t=13.50h | m5: 899 classes (80714 anneal hits, 50437495885 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 1275 restarts, 2368882306 moves, 0 snaps, best residual 1.9793e-1 | v6: 31 members, 240 joins, 11880326777 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T07:45:09Z t=14.00h | m5: 918 classes (84090 anneal hits, 52557241171 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 1330 restarts, 2471037209 moves, 0 snaps, best residual 1.9793e-1 | v6: 31 members, 240 joins, 12384552884 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T08:15:09Z t=14.50h | m5: 933 classes (87668 anneal hits, 54736002888 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 1385 restarts, 2573340798 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 12899860071 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T08:45:09Z t=15.00h | m5: 948 classes (91093 anneal hits, 56914104424 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 1441 restarts, 2677529444 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 13419995217 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T09:15:09Z t=15.50h | m5: 962 classes (94509 anneal hits, 59094807821 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 1497 restarts, 2781604024 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 13939721633 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T09:45:09Z t=16.00h | m5: 976 classes (97987 anneal hits, 61275314580 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 1552 restarts, 2883703876 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 14458031843 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
